"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2001";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2001";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2001";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2001";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2001";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2001";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2001";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2001";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2001";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
"0195153448";"Classical Mythology";"Mark P. O. Morford";"2002";"Oxford University Press"
